"Country_Name","Country.Code","gdp_2006","gdp_2007","gdp_2016","gdp_2017","life_exp_2006","life_exp_2007","life_exp_2016","life_exp_2017","pop_2006","pop_2007","pop_2016","pop_2017","popw_2006","popw_2007","popw_2016","popw_2017","urban_2006","urban_2007","urban_2016","urban_2017","educ_spend2006","educ_spend2007","educ_spend2016","educ_spend2017","net_use_2006","net_use_2007","net_use_2016","net_use_2017"
"Grenada","GRD",7382.162614,7815.065205,8449.307769,8827.698604,73.125,73.096,72.408,72.388,104933,105190,110261,110874,66916,67758,74055,74321,35.889,35.883,36.072,36.164,NA,NA,10.24036,3.17043,21.39599117,22.29,55.85640782,59.07173536
"Guam","GUM",29375.27625,29578.38562,32046.04485,31847.64968,76.966,77.227,79.391,79.631,158648,158847,162951,164281,101909,102426,106919,107857,93.727,93.822,94.617,94.699,NA,NA,NA,NA,43.851443,46.15047362,77.00999989,80.50546556
"Guatemala","GTM",2717.758926,2825.127634,3100.868441,3123.94357,70.082,70.409,73.541,73.81,13397021,13700327,16583060,16914936,7235704,7472751,9908023,10191721,47.21,47.508,50.319,50.68,2.98401,3.03874,2.83281,2.79538,6.5,7.3,34.50932609,65
"Guinea-Bissau","GNB",534.8222723,538.9854818,594.9783587,614.4394299,52.691,53.136,57.328,57.673,1377581,1411543,1782437,1828146,735014,755911,974703,1000771,38.545,38.934,42.533,42.945,NA,NA,NA,NA,2.057196705,2.206302237,3.761413832,3.930509152
"Guinea","GIN",638.5993375,667.0952954,809.9578165,893.129332,54.052,54.864,60.17,60.706,9307425,9518162,11738441,12067539,4660688,4777461,6158659,6377069,32.539,32.822,35.46,35.793,NA,NA,2.518,2.21697,0.637492123,0.780025279,9.8,18
"Guyana","GUY",2588.031249,2769.215679,3793.044295,3852.692025,66.972,67.247,69.454,69.624,746343,746474,771366,775221,446335,452730,501895,505580,27.582,27.343,26.482,26.538,5.08925,3.75262,6.061,6.34497,NA,13.8,35.66,37.32583679
"Haiti","HTI",698.0608287,709.9615793,729.8559384,728.8449367,59.028,59.408,62.896,63.29,9344785,9495328,10839970,10982366,5409735,5527835,6641406,6758561,43.604,44.574,53.396,54.346,NA,NA,2.44959,NA,6.796000481,7.2,12.23260161,12.32610358
"Honduras","HND",1839.312044,1909.557264,2096.571522,2160.091206,72.285,72.544,74.701,74.898,7634298,7808518,9270795,9429013,4285228,4424052,5799721,5949149,49.245,49.905,55.813,56.457,NA,NA,6.30177,5.95605,7.8,9.4,29.5,31.7
"Hong Kong SAR, China","HKG",29446.28378,31081.58611,36820.97742,37949.30582,82.37560976,82.32682927,84.22682927,84.6804878,6857100,6916300,7336600,7391700,5064722,5139327,5359413,5338161,100,100,100,100,3.84279,3.45455,3.29265,3.30965,60.8,64.8,87.47941467,89.41594465
"Hungary","HUN",13653.22194,13732.14938,15032.13558,15695.69794,73.09756098,73.15121951,76.06341463,76.06341463,10071370,10055780,9814023,9787966,6930944,6921074,6636894,6562819,66.895,67.421,70.779,71.062,5.30903,5.14728,4.71078,NA,47.06,53.3,79.25941213,76.75054712
"Iceland","ISL",44859.83254,47835.38424,50188.49842,51281.98774,81.15853659,81.45365854,82.20487805,82.20487805,303782,311566,335439,343400,201363,207445,220678,225218,93.159,93.278,93.735,93.773,7.37107,7.05265,7.45988,NA,89.51,90.6,98.2400163,98.26
"India","IND",1106.926392,1173.875326,1874.228501,1987.341087,64.918,65.35,68.897,69.165,1165486291,1183209472,1324509589,1338658835,732023639,746636062,877808961,890719320,29.569,29.906,33.182,33.6,3.14285,NA,NA,NA,2.805499865,3.95,22,34.45
"Indonesia","IDN",2627.905245,2757.89367,3968.055911,4120.428561,67.717,68.105,71.035,71.282,229318262,232374245,261554226,264645886,150457184,152986408,175876857,178379664,46.738,47.535,53.989,54.659,NA,3.04425,NA,NA,4.764813134,5.786274729,25.4473537,32.2924419
"Iran, Islamic Rep.","IRN",5957.945759,6373.249584,6794.293215,6952.443584,72.257,72.626,76.047,76.271,70554760,71336475,79564016,80673951,48772277,49779731,55736647,56240595,68.239,68.864,73.88,74.394,4.28999,4.59681,3.36576,3.7904,8.76,9.47,53.22677167,64.04397362
"Iraq","IRQ",4181.400818,4168.667044,5846.511746,5604.570057,68.157,68.13,70.122,70.294,27448124,27911248,36610632,37552781,14991538,15250622,21141845,21778432,68.819,68.873,70.094,70.278,NA,NA,NA,NA,0.952344244,0.93,21.23,49.35999889
"Ireland","IRL",53466.06621,54708.0706,67077.74361,71755.96701,79.24146341,79.64146341,81.70487805,81.95609756,4273591,4398942,4755335,4807388,2955513,3034132,3095584,3119517,60.738,60.94,62.737,62.947,4.54547,4.71225,3.69856,NA,54.82,61.15832455,85.01113212,84.11400706
"Isle of Man","IMN",61319.18719,64993.87116,87381.78604,NA,NA,NA,NA,NA,81285,82408,83287,83598,NA,NA,NA,NA,51.922,51.94,52.343,52.458,NA,NA,NA,NA,NA,NA,NA,NA
"Israel","ISR",28532.03285,29645.95787,33839.83485,34333.3619,80.55365854,80.50487805,82.40731707,82.60243902,7053700,7180100,8546000,8713300,4392383,4477347,5178968,5256726,91.58,91.641,92.256,92.336,5.76303,5.50995,5.8493,NA,27.88107446,48.12806219,79.65312418,81.58118359
"Italy","ITA",37872.16836,38236.79561,34397.65099,35029.42642,81.28292683,81.43414634,83.24390244,83.24390244,58143979,58438310,60627498,60536709,38358790,38478501,38898890,38758774,67.856,67.974,69.855,70.144,4.53777,4.11852,3.82943,NA,37.99,40.79,61.32425277,63.077347
